,,,$C_0 = 0.75$,$C_0 = 0.75$,$C_0 = 0.75$,$C_0 = 0.75$,$C_0 = 1$,$C_0 = 1$,$C_0 = 1$,$C_0 = 1$,$C_0 = 1.25$,$C_0 = 1.25$,$C_0 = 1.25$,$C_0 = 1.25$
,,,$\mu$,$\sigma$,S.R,Sortino.R,$\mu$,$\sigma$,S.R,Sortino.R,$\mu$,$\sigma$,S.R,Sortino.R
,MVO,,0.09396134429909075,0.12844147321758226,0.7315498798423035,0.9885581296641106,0.08526304066361856,0.11983494930574122,0.7115039573812684,0.9316263791225731,0.0765910562825809,0.11454099006049098,0.6686781408309104,0.844550351478778
$K = \lfloor 0.01N \rfloor$,Card MVO,,0.09038161961300961,0.20880141106477276,0.4328592376464932,0.6073613215592475,0.07613778220678213,0.16404242517074732,0.46413470251693956,0.6434754434309893,0.09859085202521811,0.1384806500407181,0.7119467737639085,0.9285664356052038
$K = \lfloor 0.01N \rfloor$,SVMMVO 20,$\kappa =$0.4,0.11412931709873408,0.19915394506716746,0.5730708325172386,0.8562027761227431,0.13035500013746137,0.1646900427198685,0.7915171918389156,1.0312295652533134,0.07256205838964913,0.15094616070797812,0.48071483268811566,0.6178255886343265
$K = \lfloor 0.01N \rfloor$,SVMMVO 20,$\kappa =$0.8,0.15575359040221937,0.21155433691470374,0.7362344477249709,1.1805712179655368,0.10025835678788031,0.1960542432716766,0.5113807031911579,0.7575674843966457,0.07558950791638708,0.15243446856968235,0.4958819919513995,0.6402580474650147
$K = \lfloor 0.01N \rfloor$,SVMMVO 20,$\kappa =$1.6,0.10725158337971585,0.22073992621012303,0.48587305985425905,0.6880710005945,0.09573766600024225,0.2123533395566992,0.4508413486696304,0.6488565980564807,0.07825312067613854,0.1771523762871644,0.44172775051738533,0.5846317825934283
$K = \lfloor 0.03N \rfloor$,Card MVO,,0.0910381004782943,0.12990114477865303,0.700826006063457,0.9711535375173264,0.08587517543845546,0.12159210861237456,0.7062561577266359,0.918554928087262,0.0788587319673475,0.11335887714753146,0.695655549452174,0.9106311473751996
$K = \lfloor 0.03N \rfloor$,SVMMVO 20,$\kappa =$0.4,0.09291280679018943,0.12648252306356159,0.7345900804295128,1.0556621271560773,0.08524038394930589,0.11883017266960437,0.7173294630001793,1.0048093220459915,0.07757725258291881,0.11352982208415363,0.6833204805466435,0.8777889679976394
$K = \lfloor 0.03N \rfloor$,SVMMVO 20,$\kappa =$0.8,0.08920883902680199,0.12857688923963467,0.693817058060406,0.9866149641470594,0.08504178235928439,0.1207068153954412,0.7045317373396316,0.9621599942551619,0.07265281124057932,0.1198554625105568,0.6061702130111932,0.766962566856502
$K = \lfloor 0.03N \rfloor$,SVMMVO 20,$\kappa =$1.6,0.11323692371852889,0.15035025644965802,0.7531541774020462,1.1255077577323063,0.08466897793958683,0.132819936991096,0.6374719026200325,0.8923586242514646,0.07610103489636622,0.1168561480742741,0.6512368938260414,0.8323494854978244
$K = \lfloor 0.05N \rfloor$,Card MVO,,0.09379414711546197,0.12858471041939695,0.7294346801384027,0.9942870274516308,0.08470612061349936,0.11970221172145716,0.707640396909353,0.9463706156545442,0.07801012568776766,0.1139015779520989,0.6848906493690076,0.8822974526186672
$K = \lfloor 0.05N \rfloor$,SVMMVO 20,$\kappa =$0.4,0.0977719488328681,0.12446310909238503,0.7855496262775749,1.1272402980950684,0.08231442761430952,0.12059096165647513,0.682592015882557,0.9280841988890696,0.07492428761131187,0.12570818938548667,0.5960175544455186,0.7230273099041227
$K = \lfloor 0.05N \rfloor$,SVMMVO 20,$\kappa =$0.8,0.0960964997493221,0.12363236506721144,0.7772762390906316,1.1341972022436153,0.08169823672857213,0.12153730173788417,0.6722070965897222,0.8694258477988309,0.08011366558884703,0.12060269618314964,0.6642775669557571,0.8095400839548081
$K = \lfloor 0.05N \rfloor$,SVMMVO 20,$\kappa =$1.6,0.10432539436417798,0.13604885949444073,0.7668229983834662,1.1005096197408197,0.07551562043327387,0.12353844909408224,0.6112722070500011,0.8821196797958258,0.07524461256974746,0.12085841952044177,0.6225847803430916,0.7677168685830311
$K = \lfloor 0.07N \rfloor$,Card MVO,,0.09361499244769167,0.12875633247499185,0.7270709770012621,0.9836944255909523,0.08495881828466079,0.11962259400881622,0.7102238418136902,0.93683774742375,0.07652814852543077,0.11478153570444694,0.6667287386926456,0.8431382601820254
$K = \lfloor 0.07N \rfloor$,SVMMVO 20,$\kappa =$0.4,0.09550070547147804,0.12644909797736784,0.7552501915717184,1.0854905942261424,0.08249914040806061,0.11979713443564242,0.6886570433984871,0.9207051757179717,0.07613478166279553,0.11663768483973092,0.6527459951507999,0.8299834559345154
$K = \lfloor 0.07N \rfloor$,SVMMVO 20,$\kappa =$0.8,0.09397522506978895,0.12752203035092824,0.736933256247397,1.0590165707346981,0.08388128235157755,0.11977526222385368,0.7003222601575927,0.9331502687543037,0.07733435305898961,0.12253329472903932,0.6311293043250068,0.7746724544304654
$K = \lfloor 0.07N \rfloor$,SVMMVO 20,$\kappa =$1.6,0.088118616176037,0.13329349815863017,0.6610871302302279,0.9473932947289905,0.08140325481039223,0.11948105997773181,0.6813067679979044,0.9691972252190654,0.08097105890681977,0.1243688952670637,0.651055545142107,0.7557746604129679
$K = \lfloor 0.09N \rfloor$,Card MVO,,0.09412513456062577,0.12906425900751664,0.7292889238619031,0.982882712642544,0.08549046360898238,0.11964633418537729,0.7145263930654607,0.946308330752781,0.07684173862708477,0.114723404803923,0.6698000182126493,0.8458673659887248
$K = \lfloor 0.09N \rfloor$,SVMMVO 20,$\kappa =$0.4,0.0933022408515134,0.12594195487106957,0.7408352597593836,1.081796939040257,0.08366553761594364,0.11821366383567548,0.7077484522622025,0.9576021868052913,0.07568733151989804,0.11746214674069208,0.644355084766026,0.7992784898852159
$K = \lfloor 0.09N \rfloor$,SVMMVO 20,$\kappa =$0.8,0.09614659412177762,0.1229083564028835,0.782262467220837,1.1334607018258585,0.08362602941902697,0.11897354703832685,0.7028959924350845,0.9707971910093157,0.07621475826679358,0.1158494198406188,0.6578777724709102,0.8315517678201766
$K = \lfloor 0.09N \rfloor$,SVMMVO 20,$\kappa =$1.6,0.10977123144708667,0.13421661578352967,0.8178661844978302,1.2322976639175711,0.0821974367131082,0.11790408559421649,0.6971551180677676,1.022284478969714,0.08139902851814007,0.12216170412056696,0.6663219795771975,0.8462548803453929
$K = \lfloor 0.1N \rfloor$,Card MVO,,0.09413633835786239,0.12845170646934542,0.7328539335546135,0.9896295653953523,0.08540020353797573,0.1197979004623825,0.7128689501932637,0.9331386689191115,0.07680740352461424,0.11451262296568426,0.6707330732231235,0.8470703333015097
$K = \lfloor 0.1N \rfloor$,SVMMVO 20,$\kappa =$0.4,0.09697933894515565,0.1262228915255125,0.7683181534908343,1.1103538737120098,0.08848659237512191,0.11759830145482025,0.752447877906785,1.030902303671151,0.0786460070018995,0.11523033085356767,0.6825113355080201,0.8709416905938913
$K = \lfloor 0.1N \rfloor$,SVMMVO 20,$\kappa =$0.8,0.09212841166134211,0.12449434516190475,0.7400208542928534,1.050160066147325,0.0863956222372062,0.12216569841800821,0.7072003300107257,0.9017169875406834,0.07892873528454114,0.12047337839761235,0.65515499220121,0.8109353173649547
$K = \lfloor 0.1N \rfloor$,SVMMVO 20,$\kappa =$1.6,0.09703381193546079,0.12669851996486434,0.7658638156339151,1.1204824403621583,0.0674003465320423,0.1455714866309545,0.4630051398933106,0.5627805420361112,0.0742469694418757,0.12827245629323744,0.5788223878097671,0.7165146360953155
$K = \lfloor 0.2N \rfloor$,Card MVO,,0.09396126403721095,0.12844199543494506,0.731546280630634,0.9885387431771762,0.0852635352347626,0.11983471379207178,0.7115094828256984,0.9316215442764049,0.07659233901056339,0.11454066433673993,0.6686912412642234,0.8445713660336464
$K = \lfloor 0.2N \rfloor$,SVMMVO 20,$\kappa =$0.4,0.0923686505483845,0.128249959592247,0.7202236230097682,1.0142469619958419,0.0872201061619764,0.11982120095188356,0.7279188112711477,0.9777699356570378,0.07705556008836822,0.11634860196495758,0.6622817875506246,0.8203272042648215
$K = \lfloor 0.2N \rfloor$,SVMMVO 20,$\kappa =$0.8,0.09035488140955028,0.12715085917188015,0.710611646653604,1.0386939781624762,0.08554459405281101,0.11976490355053031,0.7142709718521058,1.0513734755456923,0.07331017757666469,0.11815095686655532,0.6204789154561338,0.7441806393441772
$K = \lfloor 0.2N \rfloor$,SVMMVO 20,$\kappa =$1.6,0.09090660516752624,0.1356195332095815,0.6703061352308481,0.9279508782552983,0.08964695745446694,0.11973847824996434,0.7486896339814944,1.0592954534924568,0.08329820483133776,0.1255208839933877,0.6636202851768142,0.820891962514882
$K = \lfloor 0.4N \rfloor$,Card MVO,,0.09396640186411886,0.12844413744586602,0.7315740814073501,0.9885869993373092,0.08801152179333638,0.11908775305733647,0.7390476311276273,0.9784396510125921,0.07637161294392314,0.11456510145797341,0.6666219640362208,0.8386065909454595
$K = \lfloor 0.4N \rfloor$,SVMMVO 20,$\kappa =$0.4,0.09255468124416044,0.1279332712356795,0.7234606005943176,0.9947759702629383,0.08486999145379137,0.12170421439308568,0.6973463645200855,0.9434974745982775,0.0772829966696591,0.11943321386050322,0.6470812780766734,0.7871657769585847
$K = \lfloor 0.4N \rfloor$,SVMMVO 20,$\kappa =$0.8,0.09520807585204061,0.12837805007979292,0.7416226979056338,1.0499098615445017,0.0903930560964552,0.11677139455732301,0.7741027367116121,1.048785697860334,0.08247589252592924,0.12328372443546452,0.6689925446655611,0.8069606832995497
$K = \lfloor 0.4N \rfloor$,SVMMVO 20,$\kappa =$1.6,0.09091960674984634,0.13008007107587793,0.6989510844963435,1.0064683515033848,0.09477832521107654,0.1165181119207435,0.8134213955985269,1.211710624009464,0.078011740643257,0.1201212562162159,0.6494415984364781,0.8066461286085715
$K = \lfloor 0.6N \rfloor$,Card MVO,,0.096608183156623,0.12909503508210213,0.7483493311356391,1.0147690186843277,0.08696523663909783,0.11951644740316307,0.7276424168276964,0.9687305134180214,0.07635255928215212,0.11367044960682758,0.6717010405628414,0.8457386143114491
$K = \lfloor 0.6N \rfloor$,SVMMVO 20,$\kappa =$0.4,0.09588842952663867,0.12974061872970785,0.7390779423243359,1.0259267374432033,0.08978275069053598,0.12339253903954059,0.7276189580778907,0.962683076717859,0.07496391459476115,0.1174409055083424,0.6383117898340462,0.7838476876144768
$K = \lfloor 0.6N \rfloor$,SVMMVO 20,$\kappa =$0.8,0.09895672681496581,0.13268095980070527,0.7458246229421668,1.0288196570062056,0.0874531564993779,0.12097076612618214,0.7229280205447098,1.007899380129537,0.0784357714458741,0.11468871128625345,0.6839014107509235,0.8552730682695745
$K = \lfloor 0.6N \rfloor$,SVMMVO 20,$\kappa =$1.6,0.09995730720685625,0.12957737507419748,0.7714101875394492,1.1377718810152129,0.0908570274743834,0.12277949716312124,0.7400016254641718,1.05408528614039,0.078765238203097,0.11945761851655055,0.6593571777272981,0.84881772496245
$K = \lfloor 0.8N \rfloor$,Card MVO,,0.09463409013643798,0.1280550803325219,0.7390108216768964,1.0038928629806718,0.08594119356732843,0.11709525516465415,0.7339425790266373,0.9734032445895388,0.07551633470332231,0.11321876741910362,0.6669948492177303,0.8531577689834494
$K = \lfloor 0.8N \rfloor$,SVMMVO 20,$\kappa =$0.4,0.09714662159803478,0.12921712897619866,0.751809163132922,1.026005455672376,0.08944183497199276,0.12154094423548004,0.7358987996563797,0.9769085208638824,0.077335394836342,0.11513590486923062,0.6716879059071816,0.8656244481258911
$K = \lfloor 0.8N \rfloor$,SVMMVO 20,$\kappa =$0.8,0.09806078684438191,0.1275563134807416,0.7687646669028819,1.076252293449475,0.09210143134173165,0.11789926706874791,0.7811874800547033,1.0736034088168633,0.08198072651330968,0.11509768427420951,0.712270859576968,0.9224169609414435
$K = \lfloor 0.8N \rfloor$,SVMMVO 20,$\kappa =$1.6,0.09513825256217867,0.12947447860435518,0.7348031333101539,1.0559558019342594,0.08632599861839729,0.11978329781588226,0.7206847715203845,1.0258994971977744,0.08058685461354642,0.1175931884932742,0.685302062526824,0.8744622659364094
