,,,$C_0 = 0.75$,$C_0 = 0.75$,$C_0 = 0.75$,$C_0 = 0.75$,$C_0 = 1$,$C_0 = 1$,$C_0 = 1$,$C_0 = 1$,$C_0 = 1.25$,$C_0 = 1.25$,$C_0 = 1.25$,$C_0 = 1.25$
,,,$\mu$,$\sigma$,S.R,Sortino.R,$\mu$,$\sigma$,S.R,Sortino.R,$\mu$,$\sigma$,S.R,Sortino.R
,MVO,,0.17425188159274274,0.16620518525393627,1.0484142316409222,1.5783254815627819,0.17610952527493406,0.17769773864908045,0.9910622758273654,1.5567099603775647,0.1769655972178148,0.1816443048972549,0.9742424752480593,1.5379760250301837
$K = \lfloor 0.02N \rfloor$,Card MVO,,0.1688729433945726,0.1800835514405374,0.9377477401112533,1.3797405781594803,0.1828580122938872,0.19687138584856007,0.9288196530223422,1.3116639322141443,0.1581937191990752,0.1968385401226167,0.8036724876161524,1.1891145588656706
$K = \lfloor 0.02N \rfloor$,SVMMVO 20,$\kappa =$0.0125,0.1672289777906899,0.1803311996744677,0.9273435661303766,1.3690348413373132,0.1829260045601364,0.19712218981348045,0.9279828147872308,1.3126230657501032,0.16376542354460177,0.19628394572876476,0.8343291802932331,1.237986385480219
$K = \lfloor 0.02N \rfloor$,SVMMVO 20,$\kappa =$0.025,0.1688728922493885,0.18008355667711107,0.937747428834809,1.3797403481987178,0.1935108042902458,0.19912231661937288,0.9718187673566813,1.4096248266570257,0.1744913126589136,0.19609402564096812,0.8898349253046225,1.3265536521957295
$K = \lfloor 0.02N \rfloor$,SVMMVO 20,$\kappa =$0.05,0.15314194846356521,0.18606211861283253,0.823068927760791,1.2149997506783847,0.1897704206583244,0.19660619322819367,0.965231143243106,1.3654299181696863,0.1729943803652274,0.19664324683398623,0.8797372050679974,1.3051442158743658
$K = \lfloor 0.03N \rfloor$,Card MVO,,0.17643679758973185,0.1748795582439045,1.0089046390639635,1.4761049870139684,0.17955077244909923,0.19059228363418318,0.9420673755802376,1.5285435757911694,0.17966921426650906,0.19594699548306158,0.9169276304726007,1.5263495409641037
$K = \lfloor 0.03N \rfloor$,SVMMVO 20,$\kappa =$0.0125,0.17505408574042036,0.18072597801161966,0.9686160654179187,1.4136553716898763,0.18048445041924044,0.1890717925860513,0.9545815795716721,1.5184033991504957,0.17541338562152653,0.18873635397986321,0.9294096337171048,1.4476937534487504
$K = \lfloor 0.03N \rfloor$,SVMMVO 20,$\kappa =$0.025,0.17797446612802226,0.1842199357732717,0.9660977536495504,1.4036905532217137,0.1806242973116987,0.1900311473938705,0.9504983777071315,1.5290708436328402,0.1772176764492448,0.1950760811105151,0.9084541551193397,1.5028776167665059
$K = \lfloor 0.03N \rfloor$,SVMMVO 20,$\kappa =$0.05,0.17959423506883976,0.17971634184743288,0.999320558290148,1.481942310420755,0.17688226386122086,0.1917823227900771,0.9223074436053957,1.461780928405359,0.1747981590423331,0.19427855397219487,0.8997295659682034,1.4437547486205613
$K = \lfloor 0.05N \rfloor$,Card MVO,,0.18339693195423834,0.16919994603707852,1.0839065629137299,1.6189695264861896,0.17843620487625866,0.17712899970663448,1.007379961337721,1.5809317579428337,0.1715820153280001,0.18344317843202826,0.9353414871819662,1.4478539922032536
$K = \lfloor 0.05N \rfloor$,SVMMVO 20,$\kappa =$0.0125,0.17819638741747923,0.16835544993609905,1.0584533348051126,1.5635538633562889,0.17194248594831318,0.17959271255577305,0.9574023550366272,1.4564685217135078,0.1680625810576455,0.18380408702062787,0.9143571494075877,1.4052602448700742
$K = \lfloor 0.05N \rfloor$,SVMMVO 20,$\kappa =$0.025,0.18173727206752766,0.16823331101898936,1.080269246124592,1.6243154686537844,0.17288596308109838,0.18245365063675537,0.9475609968763784,1.5083571086854541,0.17781535151631456,0.18253731088625297,0.9741315386590695,1.5744547928323298
$K = \lfloor 0.05N \rfloor$,SVMMVO 20,$\kappa =$0.05,0.17288134040287417,0.1700177512246006,1.0168428835086203,1.5112365368508043,0.17338809571259972,0.17919564135863164,0.9675910328956658,1.553281588519037,0.17530254042893656,0.18134402478255404,0.9666849549586113,1.5590328847699897
$K = \lfloor 0.07N \rfloor$,Card MVO,,0.17231383735586014,0.16499195759398022,1.0443771918865157,1.5360644619971762,0.17292363727538795,0.17654276655232334,0.9794999854844647,1.567307297387702,0.1777270468251686,0.18084741073093527,0.9827458745847946,1.568432515793111
$K = \lfloor 0.07N \rfloor$,SVMMVO 20,$\kappa =$0.0125,0.18193199433736673,0.1630516058555605,1.1157939437807893,1.65610642095559,0.17725119303480774,0.17824780004853996,0.9944088678039178,1.5890008941171199,0.17990373367377632,0.18238800115318365,0.9863792164851849,1.5398475305818236
$K = \lfloor 0.07N \rfloor$,SVMMVO 20,$\kappa =$0.025,0.17583780048271258,0.16553866360285616,1.0622158996315512,1.5554351373251236,0.1738406306334852,0.17971781863091485,0.9672976889982201,1.530580526780098,0.17813267793802456,0.18148481156436802,0.9815293985350694,1.530210164765729
$K = \lfloor 0.07N \rfloor$,SVMMVO 20,$\kappa =$0.05,0.1799141975962062,0.16547700140095192,1.0872459379431998,1.5862310824452042,0.17469800653494172,0.17638167712944774,0.9904543906039038,1.550528107579925,0.1746014567803904,0.18103979393761563,0.9644368952416956,1.5329786087726036
$K = \lfloor 0.09N \rfloor$,Card MVO,,0.17200650448926158,0.16555978022684326,1.038938951559281,1.524881020290002,0.17609700162325836,0.177238726417213,0.9935582656396036,1.55302946422417,0.17466031513231872,0.1828797773824866,0.955055379179639,1.4996411599763697
$K = \lfloor 0.09N \rfloor$,SVMMVO 20,$\kappa =$0.0125,0.17517192626958966,0.16557400704977335,1.057967548112374,1.5885188731656468,0.1717935142443059,0.1789027618390964,0.9602619460889904,1.4913456592932643,0.17524533911811258,0.18147869423603638,0.9656524136667165,1.5292561982352768
$K = \lfloor 0.09N \rfloor$,SVMMVO 20,$\kappa =$0.025,0.17881213224070436,0.16677795363890663,1.072156890879313,1.5986488335718496,0.17390458199613867,0.17738535868547034,0.9803773168477585,1.5292401319123552,0.17368458433520484,0.18203901570796105,0.9541063692293362,1.5024099793108412
$K = \lfloor 0.09N \rfloor$,SVMMVO 20,$\kappa =$0.05,0.17364784867182426,0.1664280750944995,1.0433807431421969,1.5310943505081198,0.1739644420191917,0.17724696846339552,0.9814804931635165,1.5394616420590332,0.1754683884352568,0.18005903954297672,0.9745047451137591,1.5234723556495071
$K = \lfloor 0.1N \rfloor$,Card MVO,,0.17525128812301993,0.167608470545749,1.0455992322606678,1.5569714506777605,0.1797051092210964,0.177050505805289,1.014993481118471,1.6153403691400359,0.17534069160933274,0.1832710546242079,0.9567287751405363,1.532339384999207
$K = \lfloor 0.1N \rfloor$,SVMMVO 20,$\kappa =$0.0125,0.1776508305155584,0.1660796620221472,1.0696723990916368,1.5836874477774456,0.17652650394470282,0.17769849923016326,0.993404585348003,1.572113098062009,0.17857552690363487,0.18295322244108037,0.9760720501173171,1.5557169051444912
$K = \lfloor 0.1N \rfloor$,SVMMVO 20,$\kappa =$0.025,0.17809788173338426,0.1638745811910743,1.0867938178022,1.614097320326362,0.17556059612134867,0.17866708414928284,0.9826129807696496,1.5355958488456263,0.17938169571801676,0.1814874420972497,0.9883972887881433,1.5707494608296133
$K = \lfloor 0.1N \rfloor$,SVMMVO 20,$\kappa =$0.05,0.17509175052489034,0.165366260757094,1.0588118139895661,1.5781851585039826,0.1724402976785031,0.17829021167782708,0.9671888100626923,1.512128248514873,0.17488228498076452,0.18121140815582293,0.965073263104848,1.525313829655249
$K = \lfloor 0.2N \rfloor$,Card MVO,,0.17429052885567664,0.16621044445500854,1.0486135779683523,1.5786502921185073,0.17612058959049648,0.17770729984917186,0.9910712150822047,1.5567790340445562,0.17696385353965027,0.18165175982390025,0.9741928936510463,1.5378776744661224
$K = \lfloor 0.2N \rfloor$,SVMMVO 20,$\kappa =$0.0125,0.17429052885567664,0.16621044445500854,1.0486135779683523,1.5786502921185073,0.17612679558040245,0.17771748452259345,0.9910493390874615,1.5566586788975736,0.17696385353965027,0.18165175982390025,0.9741928936510463,1.5378776744661224
